Time (s),Power (W)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,770.870771
22,1801.887062
23,2407.273459
24,3026.017684
25,3730.570951
26,4210.13657
27,1446.078333
28,2075.932697
29,5070.187271
30,2846.402858
31,2416.726702
32,1430.095838
33,494.4513884
34,15.86437807
35,-3.644674698
36,193.6333953
37,71.89323358
38,-3578.7856
39,-2192.728984
40,687.2833771
41,1105.776819
42,1133.890032
43,1427.921462
44,2417.778528
45,3958.747644
46,4340.025099
47,3985.689769
48,1581.717853
49,874.5413212
50,1099.868759
51,-1229.243569
52,-2918.935458
53,-2046.185191
54,-1091.309117
55,746.60443
56,3453.234359
57,4308.934253
58,4163.306802
59,4093.273771
60,3193.035163
61,2208.199749
62,1877.994057
63,1647.93789
64,632.1990366
65,1112.094944
66,1735.744323
67,1628.015717
68,1128.059037
69,1244.571482
70,1366.113264
71,2395.000709
72,2463.966153
73,1596.343448
74,809.6227129
75,399.2024293
76,1647.93789
77,2183.562583
78,2767.146564
79,1501.51014
80,833.0850768
81,2407.776439
82,2739.627331
83,3389.985261
84,4267.687886
85,3431.73676
86,3052.494362
87,2669.681496
88,2560.475428
89,2753.287026
90,2012.050576
91,1542.764953
92,1677.240091
93,1817.744437
94,2120.233822
95,3067.67282
96,932.8018064
97,740.7131186
98,1012.61182
99,2624.028737
100,3133.015956
101,2900.617071
102,2484.192083
103,2352.216438
104,1735.399773
105,782.9968927
106,588.1204057
107,2056.342774
108,2678.879792
109,3194.359868
110,3277.441436
111,3686.713455
112,3139.987223
113,2703.694165
114,1738.282627
115,901.1003233
116,-5483.045797
117,-5615.624363
118,-5179.188997
119,-4666.864755
120,-4081.751213
121,-3364.864105
122,-3058.434129
123,-2491.482924
124,-1644.089997
125,-366.4777827
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,407.167451
165,1223.239683
166,1723.478395
167,2006.977448
168,2590.25488
169,2759.80714
170,2459.177254
171,2501.393777
172,2096.508777
173,1463.248296
174,83.07531897
175,251.3126325
176,416.1818363
177,1027.584673
178,952.0606303
179,961.7335942
180,1156.523698
181,2180.440329
182,186.7151062
183,-1532.219352
184,-448.9621276
185,-1963.015328
186,-672.1417788
187,182.2857082
188,1146.71385
189,865.1626033
190,1544.658399
191,2322.739186
192,2677.318038
193,3371.291762
194,4201.73837
195,4377.690908
196,4370.346947
197,2608.644773
198,4009.116909
199,3182.31334
200,3735.519477
201,3778.725149
202,4106.588217
203,3336.608425
204,3133.015956
205,3057.645552
206,2019.955059
207,1706.134432
208,1847.746527
209,1684.42906
210,1980.664046
211,1980.664046
212,1980.664046
213,1980.664046
214,2292.523066
215,2309.462377
216,2800.539769
217,3008.641221
218,3231.285084
219,2811.362844
220,3015.453065
221,3233.306578
222,2924.34289
223,3301.017523
224,3535.993358
225,4135.456561
226,4081.572106
227,3653.299212
228,3180.678815
229,2851.210359
230,2500.456345
231,2132.112164
232,2641.886657
233,3000.766865
234,3201.964372
235,3339.293706
236,3025.079498
237,3404.699635
238,3087.347324
239,3289.532174
240,2958.114767
241,2786.545383
242,2423.750405
243,2766.621565
244,2766.621565
245,2766.621565
246,2766.621565
247,2766.621565
248,2585.699023
249,2215.798301
250,2189.02134
251,1486.476816
252,1790.755863
253,1927.900852
254,2071.378646
255,2045.743418
256,2370.914912
257,3065.492467
258,2742.220673
259,2751.99753
260,2584.44426
261,2054.262406
262,1853.647964
263,1821.322342
264,1789.408278
265,1586.930796
266,2913.473976
267,1742.30232
268,2220.435511
269,2042.141404
270,2025.611088
271,2515.290499
272,2694.106584
273,2883.75785
274,3085.357155
275,3300.095408
276,3353.845784
277,3408.239804
278,4359.466865
279,3575.342083
280,3014.793795
281,3393.732855
282,2717.278419
283,2358.884251
284,1667.412574
285,1440.617748
286,859.9293565
287,624.7803248
288,730.8955194
289,2346.273045
290,2346.273045
291,1505.898377
292,653.0406093
