type	latitude	longitude	altitude (m)	name	desc
T	12.976364609	77.619536695	903.2	My_path	
T	12.976614277	77.636872196	899.6		
T	12.976924727	77.658538148	898.6		
T	12.977166095	77.675881854	885.7		
T	12.981611559	77.693153505	884.8		
T	12.981927206	77.714785613	897.1		
T	12.982237304	77.736423601	891.0		
T	12.982543010	77.758064071	887.7		
T	12.982846824	77.779701328	862.0		
T	12.983088618	77.797008751	868.9		
T	12.979064217	77.810057603	883.7		
T	12.979363973	77.831686528	898.4		
T	12.975398169	77.849056204	888.4		
T	12.975635737	77.866354400	897.0		
T	12.971675085	77.883706491	902.6		
T	12.971919718	77.900983856	882.2		
T	12.968020349	77.922646414	907.5		
T	12.964059227	77.939987867	899.1		
T	12.964300388	77.957260461	876.7		
T	12.960337383	77.974598390	863.0		
T	12.960576425	77.991868154	857.9		
T	12.960814722	78.009135902	849.1		
T	12.960933641	78.017769045	852.5		
T	12.961288679	78.043666663	865.8		
T	12.961646702	78.069553602	851.3		
T	12.962002817	78.095438025	846.8		
T	12.962294574	78.117010803	831.7		
T	12.962526650	78.134267839	829.9		
T	12.962757602	78.151523872	831.7		
T	12.962987406	78.168778831	805.0		
T	12.963273021	78.190346033	812.2		
T	12.963500209	78.207598713	816.0		
T	12.963728001	78.224848736	846.4		
T	12.963965667	78.242087981	890.1		
T	12.972602693	78.259206954	865.6		
T	12.972896786	78.280757181	828.3		
T	12.973189098	78.302307750	821.3		
T	12.973421688	78.319548355	808.4		
T	12.973653147	78.336789121	787.6		
T	12.973883471	78.354030109	782.8		
T	12.969910490	78.371330345	776.0		
T	12.970135683	78.388572384	765.4		
T	12.966220939	78.410180407	773.5		
T	12.966510355	78.431728858	752.0		
T	12.970941868	78.448911172	762.1		
T	12.975372483	78.466094831	761.8		
T	12.975600701	78.483336517	756.6		
T	12.975884349	78.504889673	723.9		
T	12.971908346	78.522188862	717.8		
T	12.967874629	78.535177402	747.0		
T	12.959734208	78.556843067	721.0		
T	12.959947009	78.574086073	684.1		
T	12.960185489	78.591331539	667.1		
T	12.960423298	78.608579477	672.6		
T	12.960600929	78.621516957	654.3		
T	12.960895621	78.643082784	523.5		
T	12.961130116	78.660338190	571.7		
T	12.961421705	78.681910963	529.7		
T	12.961653709	78.699172001	542.8		
T	12.961954862	78.720757617	377.6		
T	12.962317886	78.746669646	527.1		
T	12.966782013	78.768192658	456.7		
T	12.966982470	78.785449903	524.4		
T	12.967189353	78.802712416	331.9		
T	12.967398669	78.819977934	298.9		
T	12.971814049	78.837195704	300.0		
T	12.972021272	78.854463656	296.2		
T	12.972227333	78.871732462	308.6		
T	12.976741929	78.897590320	437.1		
T	12.981254422	78.923451473	392.4		
T	12.981511458	78.945049285	302.8		
T	12.981716769	78.962329723	285.4		
T	12.981920974	78.979611588	275.0		
T	12.982124028	78.996894775	269.8		
T	12.982325985	79.014179495	263.0		
T	12.982476744	79.027143874	252.1		
T	12.978567179	79.053118989	242.4		
T	12.974663046	79.079107860	237.1		
T	12.974923800	79.100745045	230.1		
T	12.975075613	79.113724699	222.2		
T	12.975329144	79.135360185	219.5		
T	12.975593518	79.157021101	219.0		
T	12.975803817	79.174353223	203.1		
T	12.980224253	79.191647337	202.0		
T	12.980484620	79.213321649	202.4		
T	12.980691718	79.230664629	198.4		
T	12.985161549	79.252307823	193.8		
T	12.985417629	79.273996433	192.8		
T	12.985617533	79.291343312	205.5		
T	12.985815133	79.308691110	199.8		
T	12.986011577	79.326041571	226.8		
T	12.986206995	79.343394658	191.3		
T	12.986401215	79.360750791	174.9		
T	12.986642384	79.382449472	161.9		
T	12.986881841	79.404152359	152.5		
T	12.987119566	79.425859731	140.5		
T	12.987353731	79.447567791	130.3		
T	12.991760640	79.464909010	122.7		
T	12.991949634	79.482293059	118.0		
T	13.000574672	79.499612716	118.0		
T	13.004981722	79.516970300	113.6		
T	13.005169522	79.534363975	107.9		
T	13.009575612	79.551729152	101.5		
T	13.009807840	79.573479983	96.1		
T	13.010038295	79.595235403	95.6		
T	13.010312511	79.621348345	93.9		
T	13.010497021	79.638767106	86.1		
T	13.014903628	79.656165705	85.2		
T	13.015086280	79.673593443	82.7		
T	13.019491996	79.691000009	80.3		
T	13.019672775	79.708434581	77.5		
T	13.019897140	79.730232557	73.3		
T	13.020119828	79.752035551	67.1		
T	13.020340636	79.773843689	67.7		
T	13.020603366	79.800019826	64.0		
T	13.020826284	79.821857530	60.5		
T	13.025232489	79.839316373	57.5		
T	13.029638603	79.856779816	65.8		
T	13.029816000	79.874267733	57.1		
T	13.029992194	79.891759530	72.7		
T	13.030210894	79.913629599	75.8		
T	13.030470984	79.939881743	56.0		
T	13.034873758	79.957370070	47.8		
T	13.039276344	79.974863422	42.1		
T	13.043681556	79.992373173	33.5		
T	13.043813150	80.005525182	33.0		
T	13.044032448	80.027454748	37.8		
T	13.044207180	80.045006843	24.0		
T	13.044337593	80.058173131	27.3		
T	13.044553350	80.080123001	26.5		
T	13.044810021	80.106471817	23.0		
T	13.045064096	80.132830385	16.3		
T	13.045273746	80.154803143	13.6		
T	13.045442954	80.172399099	13.3		
T	13.049849570	80.189988212	14.2		
T	13.050019548	80.207592834	17.6		
T	13.058702483	80.229574894	12.7		
T	13.058909418	80.251593065	13.7		
T	13.063314045	80.269202475	10.0		
T	13.071960540	80.286808399	4.9		
T	13.080641432	80.308829781	0.0		
T	13.089174746	80.313222180	0.0		
